rank_x,postid,rank_y,rank
,42595256,,1290.0
,40538304,,2376.0
,31796914,,2884.0
,52127834,,2174.0
,57332088,,3821.0
,27965291,,1485.0
,39166027,,615.0
,57427059,,3003.0
,60132869,,409.0
,48052270,,2525.0
,27787116,,519.0
,31388329,,500.0
,38478139,,609.0
,12392404,,2518.0
,22803814,,540.0
,9060457,,556.0
,59570555,,658.0
,33784656,,752.0
,41701807,,3451.0
,55891499,,647.0
,32821369,,315.0
,37011952,,2529.0
,11751047,,777.0
,54831077,,10.0
,29669292,,724.0
,51164948,,799.0
,57191083,,2480.0
,41723575,,3054.0
,12362866,,306.0
,32219451,,3972.0
,61025542,,229.0
,45476950,,3650.0
,48534448,,110.0
,28370249,,1630.0
,8732461,,364.0
,58020350,,3691.0
,36205419,,339.0
,2535234,,2549.0
,57438355,,1.0
,29125609,,24.0
,23618813,,1.0
